Denver,80215,,,North Kipling,"$56,525","7,998",0.1%,18%,33%,25%,5%
Boulder,80301,no delivery,,Boulder County,"$65,428","10,095",0.1%,3%,39%,24%,5%
Aurora,80019,no delivery,,Adams County,"$63,519",647,0.4%,4%,44%,38%,9%
Westminster,80030,,,Adams County,"$39,494","5,983",0.1%,38%,34%,32%,8%
Englewood,80110,,,Englewood,"$41,793","8,776",0.1%,16%,36%,28%,7%
Arvada,80004,,,Jefferson County,"$67,830","14,555",0.1%,14%,34%,31%,6%
Commerce City,80022,,,Adams County,"$56,449","13,380",0.1%,2%,35%,48%,10%
Henderson,80640,,,Adams County,"$73,605","3,389",0.1%,8%,40%,53%,10%
Aurora,80010,,,Main Street,"$32,527","12,767",0.1%,18%,35%,43%,10%
Aurora,80010,,,Del Mar Parkway,"$32,527","12,767",0.1%,18%,35%,43%,10%
Aurora,80010,,,Original Aurora,"$32,527","12,767",0.1%,18%,35%,43%,10%
Aurora,80010,,,Aurora District,"$32,527","12,767",0.1%,18%,35%,43%,10%
Denver,80226,,,Jefferson County,"$53,081","12,817",0.1%,12%,33%,27%,6%
Boulder,80002,,,Boulder County,"$45,717","11,800",0.1%,1%,24%,12%,3%
Denver,80228,,,Jefferson County,"$68,323","13,209",0.1%,9%,37%,27%,5%
Denver,80229,,,Adams County,"$47,403","16,965",0.1%,8%,35%,44%,9%
Westminster,80031,,,Adams County,"$70,536","13,116",0.1%,12%,36%,32%,7%
Thornton,80241,,,Adams County,"$81,423","11,270",0.1%,15%,39%,43%,7%
Arvada,80005,,,Jefferson County,"$84,501","10,066",0.0%,9%,36%,33%,5%
Englewood,80112,,,Arapahoe County,"$81,191","12,120",0.0%,5%,37%,32%,6%
Littleton,80129,,,Douglas County,"$102,495","9,661",0.0%,13%,43%,47%,8%
Arvada,80003,,,Jefferson County,"$54,688","13,672",0.0%,15%,35%,33%,7%
Denver,80227,,,Jefferson County,"$59,100","14,478",0.0%,14%,34%,29%,7%
Denver,80234,,,Adams County,"$62,468","10,490",0.0%,14%,36%,34%,7%
Denver,80232,,,Jefferson County,"$61,227","8,757",0.0%,24%,34%,29%,6%
Denver,80233,,,Adams County,"$58,820","16,786",0.0%,11%,36%,37%,7%
Littleton,80122,,,Arapahoe County,"$78,722","11,861",0.0%,14%,39%,32%,5%
Littleton,80120,,direct mail,Arapahoe County,"$54,878","12,634",0.0%,12%,34%,26%,6%
Boulder,80302,no delivery,,Boulder County,"$45,717","11,800",0.1%,1%,24%,12%,3%
Englewood,80113,,,Arapahoe County,"$53,185","9,586",0.0%,13%,0%,#DIV/0!,0%
Broomfield,80020,,,Broomfield Heights,"$77,600","17,341",0.0%,5%,39%,38%,7%
Brighton,80601,,,Adams County,"$63,449","10,984",0.0%,4%,36%,45%,9%
Boulder,80303,no delivery,,Boulder County,"$44,544","10,642",0.1%,5%,27%,17%,4%

Littleton,80126,,,Littleton,"$112,455","13,745",0.0%,9%,46%,49%,7%
Littleton,80130,,,Littleton,"$105,817","9,726",0.0%,16%,43%,47%,9%
Denver,80235,,,Jefferson County,"$54,178","3,394",0.0%,27%,34%,27%,7%
Englewood,80111,,,Arapahoe County,"$93,241","11,663",0.0%,9%,37%,35%,5%
Aurora,80013,,,Cherry Creek District,"$67,857","24,791",0.0%,7%,39%,42%,8%
Littleton,80128,,Direct mail,Jefferson County,"$79,185","13,611",0.0%,8%,38%,34%,6%
Denver,80260,,,Adams County,"$41,185","11,662",0.0%,21%,33%,39%,9%
Aurora,80017,,,Arapahoe County,"$49,519","12,962",0.0%,17%,36%,40%,9%
Aurora,80012,,,Arapahoe County,"$40,989","18,115",0.0%,13%,34%,35%,9%
Lone Tree,80124,,,Douglas County,"$98,687","6,978",0.0%,11%,40%,37%,6%
Aurora,80014,,,Cherry Creek District,"$46,073","17,459",0.0%,14%,32%,23%,6%
Littleton,80121,,,Littleton,"$86,228","7,048",0.0%,13%,33%,31%,5%
Aurora,80011,,,Arapahoe County,"$40,748","16,223",0.0%,4%,34%,41%,9%
Brighton,80603,,,Brighton,"$70,232","4,127",0.0%,1%,37%,42%,9%
Aurora,80015,,,Arapahoe County,"$21,240","80,599",0.0%,7%,46%,48%,7%
Boulder,80310,no delivery,,Boulder County,"$14,091",946,0.0%,43%,0%,1%,0%
